id,popularity,vote_average,vote_count,averageRating,numVotes
426543,16.937,6.079,1991,,40888
677179,164.985,7.194,1987,6.7,110908
523139,16.376,5.533,1986,5.5,75086
632357,44.907,6.667,1984,5.1,31452
470044,38.819,8.162,,7.5,44145
758323,196.08,7.144,1971,6.1,103742
615665,13.897,7.053,1970,6.2,88817
146198,18.853,59.63,1969,6.3,82280
280217,20.581,6.682,1968,6.5,86816
319888,10.414,7.176,1967,7.3,108530
568160,26.82,8.0,1964,7.5,72182
345938,45.301,7.495,1963,6.3,43088
399402,44.024,6.86,1955,6.6,81683
527435,14.043,7.155,1940,7.0,94807
460668,26.655,6.41,1936,5.7,61148
431530,13.988,6.314,1923,5.6,62902
776503,27.109,7.967,1922,8.0,232221
718032,"21,93",70.02,,7.1,163234
446893,33.796,7.349,1921,6.1,33573
599975,21.856,6.294,1912,5.4,54316
619730,30.556,6.81,1911,6.3,180462
384682,18.016,5.652,1904,,94824
339967,20.733,6.296,1894,6.2,75691
458594,19.181,6.7,1882,6.5,76612
331313,14.168,6.1,1878,5.9,72695
431580,27.909,7.509,1877,7.0,47360
552178,18.382,7.53,1860,7.6,123290
507076,16.828,7.1,1859,6.9,91034
437557,18.51,6.3,1859,6.2,92749
937278,60.746,7.814,1857,7.5,215536
371645,15.889,7.689,1854,7.8,155906
339692,"22,458",6.931,1845,7.3,115337
439015,17.454,4.333,1839,3.3,43554
505192,22.183,7.868,1836,7.9,96521
934433,231.85,7.2,1836,6.4,155520
375366,16.584,6.539,1835,6.6,69813
760161,58.37,6.716,1833,5.9,54936
631842,68.135,6.351,1828,6.1,143163
537116,12.985,7.707,1825,7.5,130071
606856,22.033,8.175,1820,7.9,63120
500682,17.663,6.733,1816,6.9,114979
484468,16.72,7.551,1814,6.9,24521
697843,180.216,7.487,1814,7.0,176209
538362,8.953,8.053,1798,7.3,10946
458305,16.99,6.08,1797,5.8,95569
351211,12.276,5.2,1787,5.0,54104
475210,16.634,5.275,1785,5.1,
463684,13.798,5.352,1779,5.7,69343
535292,16.605,6.757,1778,6.7,
625450,14.878,6.352,1776,5.2,30402
330483,15.11,7.172,1774,6.5,50304
440161,13.397,6.828,1774,6.9,75928
390062,16.51,6.592,1772,,73116
520663,15.263,6.029,1766,5.7,91445
449924,"11,457",7.257,1766,,41569
614409,23.054,7.593,1766,6.3,40766
245703,"20,114",6.222,1761,6.6,87099
796499,22.46,6.867,1756,6.4,99058
629176,54.947,6.8,1756,5.7,62169
804095,35.675,7.723,1755,7.5,136915
433498,21.05,7.337,,7.2,97143
646389,95.197,6.997,1753,6.5,105385
342473,21.682,7.182,1752,6.8,27185
533642,15.623,5.983,1751,5.7,61054
335977,579.252,6.679,,6.5,236572
585216,"28,594",6.58,1746,5.8,69706
1010581,361.025,8.106,1738,,46638
369192,13.538,6.777,1736,6.7,64221
727745,22.22,6.97,1727,4.8,27875
724495,67.582,7.749,1723,6.9,84227
500840,18.443,6.581,1723,6.5,111972
370755,11.344,7.102,1722,,96478
301804,12.131,6.487,1719,6.2,56760
337674,9.34,6.659,1717,7.1,74962
763285,"31,656",67.0,1714,6.1,114718
913290,29.977,6.916,1711,7.0,269734
460885,15.291,6.194,1706,6.5,99583
407451,12.026,5.102,1704,4.3,50228
